 time            v(d_p)          v(d_n)          v(vos)          vod             v(x1.core_p)    v(x1.core_n)   
 7.47500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835057e-08  1.19999995e+00 
 7.52500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835051e-08  1.19999995e+00 
 7.57500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835129e-08  1.19999995e+00 
 7.62500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835222e-08  1.19999995e+00 
 7.67500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835098e-08  1.19999995e+00 
 7.72500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835130e-08  1.19999995e+00 
 7.77500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835142e-08  1.19999995e+00 
 7.82500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835142e-08  1.19999995e+00 
 7.87500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835149e-08  1.19999995e+00 
 7.92500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835153e-08  1.19999995e+00 
 7.97500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835119e-08  1.19999995e+00 
 8.02500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835106e-08  1.19999995e+00 
 8.07500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835035e-08  1.19999995e+00 
 8.12500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835121e-08  1.19999995e+00 
 8.17500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835080e-08  1.19999995e+00 
 8.22500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835133e-08  1.19999995e+00 
 8.27500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835152e-08  1.19999995e+00 
 8.32500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835120e-08  1.19999995e+00 
 8.37500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835108e-08  1.19999995e+00 
 8.42500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835034e-08  1.19999995e+00 
 8.47500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835051e-08  1.19999995e+00 
 8.52500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835085e-08  1.19999995e+00 
 8.57500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835067e-08  1.19999995e+00 
 8.62500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835057e-08  1.19999995e+00 
 8.67500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835122e-08  1.19999995e+00 
 8.72500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835142e-08  1.19999995e+00 
 8.77500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835074e-08  1.19999995e+00 
 8.82500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835054e-08  1.19999995e+00 
 8.87500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835090e-08  1.19999995e+00 
 8.92500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835204e-08  1.19999995e+00 
 8.97500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835165e-08  1.19999995e+00 
 9.02500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835080e-08  1.19999995e+00 
 9.07500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835055e-08  1.19999995e+00 
 9.12500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835118e-08  1.19999995e+00 
 9.17500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835142e-08  1.19999995e+00 
 9.22500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835078e-08  1.19999995e+00 
 9.27500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835122e-08  1.19999995e+00 
 9.32500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835140e-08  1.19999995e+00 
 9.37500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835072e-08  1.19999995e+00 
 9.42500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835122e-08  1.19999995e+00 
 9.47500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835072e-08  1.19999995e+00 
 9.52500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835054e-08  1.19999995e+00 
 9.57500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835045e-08  1.19999995e+00 
