 time            v(d_p)          v(d_n)          v(x1.gclk_b)   
 5.30600000e-10  1.19999996e+00  1.19999738e+00 -2.47617387e-03 
 5.31400000e-10  1.19999996e+00  1.19999771e+00 -2.74440572e-03 
 5.33000000e-10  1.19999996e+00  1.19999841e+00 -3.25483770e-03 
 5.35000000e-10  1.19999996e+00  1.19999929e+00 -3.83416909e-03 
 5.37000000e-10  1.19999996e+00  1.20000008e+00 -4.34074101e-03 
 5.39000000e-10  1.19999996e+00  1.20000070e+00 -4.77354212e-03 
 5.41000000e-10  1.19999995e+00  1.20000115e+00 -5.13703527e-03 
 5.43000000e-10  1.19999995e+00  1.20000140e+00 -5.43836823e-03 
 5.45000000e-10  1.19999995e+00  1.20000148e+00 -5.68550601e-03 
 5.47000000e-10  1.19999995e+00  1.20000143e+00 -5.88597922e-03 
 5.49000000e-10  1.19999995e+00  1.20000126e+00 -6.04621250e-03 
 5.51000000e-10  1.19999995e+00  1.20000101e+00 -6.17106633e-03 
 5.53000000e-10  1.19999995e+00  1.20000071e+00 -6.26362283e-03 
 5.55000000e-10  1.19999995e+00  1.20000039e+00 -6.32533491e-03 
 5.57000000e-10  1.19999995e+00  1.20000012e+00 -6.35702517e-03 
 5.59000000e-10  1.19999995e+00  1.19999996e+00 -6.36024618e-03 
 5.61000000e-10  1.19999995e+00  1.20000003e+00 -6.33765112e-03 
 5.63000000e-10  1.19999995e+00  1.20000039e+00 -6.29211259e-03 
 5.65000000e-10  1.19999995e+00  1.20000113e+00 -6.22582756e-03 
 5.67000000e-10  1.19999995e+00  1.20000227e+00 -6.14002669e-03 
 5.69000000e-10  1.19999995e+00  1.20000384e+00 -6.03517630e-03 
 5.71000000e-10  1.19999995e+00  1.20000586e+00 -5.91138166e-03 
 5.73000000e-10  1.19999995e+00  1.20000836e+00 -5.76887201e-03 
 5.75000000e-10  1.19999995e+00  1.20001139e+00 -5.60846564e-03 
 5.77000000e-10  1.19999995e+00  1.20001499e+00 -5.43196400e-03 
 5.79000000e-10  1.19999995e+00  1.20001923e+00 -5.24239043e-03 
 5.81000000e-10  1.19999995e+00  1.20002415e+00 -5.04400286e-03 
 5.83000000e-10  1.19999995e+00  1.20002978e+00 -4.84191263e-03 
 5.85000000e-10  1.19999995e+00  1.20003596e+00 -4.63948132e-03 
 5.87000000e-10  1.19999995e+00  1.20004225e+00 -4.43470627e-03 
 5.89000000e-10  1.19999995e+00  1.20004815e+00 -4.22388449e-03 
 5.91000000e-10  1.19999995e+00  1.20005330e+00 -4.00679225e-03 
 5.93000000e-10  1.19999995e+00  1.20005759e+00 -3.78564032e-03 
 5.95000000e-10  1.19999995e+00  1.20006104e+00 -3.56326396e-03 
 5.97000000e-10  1.19999995e+00  1.20006375e+00 -3.34241360e-03 
 5.99000000e-10  1.19999995e+00  1.20006588e+00 -3.12555336e-03 
