 time            v(d_p)          v(d_n)          v(x1.gclk_b)    v(mode)         v(en)          
 9.27500000e-10  5.94835073e-08  1.19999995e+00  1.13489230e-07  0.00000000e+00  0.00000000e+00 
 9.32500000e-10  5.94835129e-08  1.19999995e+00  1.13329506e-07  0.00000000e+00  0.00000000e+00 
 9.37500000e-10  5.94835122e-08  1.19999995e+00  1.13459945e-07  0.00000000e+00  0.00000000e+00 
 9.42500000e-10  5.94835173e-08  1.19999995e+00  1.13323376e-07  0.00000000e+00  0.00000000e+00 
 9.47500000e-10  5.94835090e-08  1.19999995e+00  1.13439047e-07  0.00000000e+00  0.00000000e+00 
 9.52500000e-10  5.94835077e-08  1.19999995e+00  1.13320068e-07  0.00000000e+00  0.00000000e+00 
 9.57500000e-10  5.94835101e-08  1.19999995e+00  1.13423768e-07  0.00000000e+00  0.00000000e+00 
 9.62500000e-10  5.94835100e-08  1.19999995e+00  1.13318598e-07  0.00000000e+00  0.00000000e+00 
 9.67500000e-10  5.94835059e-08  1.19999995e+00  1.13412685e-07  0.00000000e+00  0.00000000e+00 
 9.72500000e-10  5.94835114e-08  1.19999995e+00  1.13318086e-07  0.00000000e+00  0.00000000e+00 
 9.77500000e-10  5.94835121e-08  1.19999995e+00  1.13404659e-07  0.00000000e+00  0.00000000e+00 
 9.82500000e-10  5.94835078e-08  1.19999995e+00  1.13318011e-07  0.00000000e+00  0.00000000e+00 
 9.87500000e-10  5.94835101e-08  1.19999995e+00  1.13398947e-07  0.00000000e+00  0.00000000e+00 
 9.92500000e-10  5.94835165e-08  1.19999995e+00  1.13318050e-07  0.00000000e+00  0.00000000e+00 
 9.96250000e-10  5.94835115e-08  1.19999995e+00  1.13394811e-07  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  5.94835061e-08  1.19999995e+00  1.13318757e-07  0.00000000e+00  0.00000000e+00 
 1.00050000e-09  5.94908596e-08  1.19999995e+00  4.70622174e-07  0.00000000e+00  0.00000000e+00 
 1.00150000e-09  5.95004431e-08  1.19999995e+00  9.89577844e-07  0.00000000e+00  0.00000000e+00 
 1.00350000e-09  5.94787867e-08  1.19999995e+00  7.85868194e-07  0.00000000e+00  0.00000000e+00 
 1.00750000e-09  5.94588785e-08  1.19999995e+00 -4.70254066e-07  0.00000000e+00  0.00000000e+00 
 1.01250000e-09  5.95043099e-08  1.19999995e+00 -5.71352334e-07  0.00000000e+00  0.00000000e+00 
 1.01750000e-09  5.94939798e-08  1.19999995e+00 -8.30922610e-08  0.00000000e+00  0.00000000e+00 
 1.02250000e-09  5.94724076e-08  1.19999995e+00 -3.07312042e-08  0.00000000e+00  0.00000000e+00 
 1.02625000e-09  5.94763707e-08  1.19999995e+00 -4.59499484e-08  0.00000000e+00  0.00000000e+00 
 1.03000000e-09  5.94866315e-08  1.19999995e+00  3.24090552e-07  0.00000000e+00  0.00000000e+00 
 1.03050000e-09  5.94806446e-08  1.19999995e+00  9.23991370e-08  0.00000000e+00  0.00000000e+00 
 1.03150000e-09  5.94733145e-08  1.19999995e+00 -1.67064228e-07  0.00000000e+00  0.00000000e+00 
 1.03350000e-09  5.94908132e-08  1.19999995e+00  3.77261074e-07  0.00000000e+00  0.00000000e+00 
 1.03750000e-09  5.94936663e-08  1.19999995e+00  1.33756577e-06  0.00000000e+00  0.00000000e+00 
 1.04250000e-09  5.94603486e-08  1.19999995e+00  6.63563907e-07  0.00000000e+00  0.00000000e+00 
 1.04750000e-09  5.94875284e-08  1.19999995e+00 -1.38487037e-07  0.00000000e+00  0.00000000e+00 
 1.05250000e-09  5.95005635e-08  1.19999995e+00 -2.89259468e-07  0.00000000e+00  0.00000000e+00 
 1.05750000e-09  5.94909860e-08  1.19999995e+00  2.92676120e-07  0.00000000e+00  0.00000000e+00 
 1.06250000e-09  5.94778909e-08  1.19999995e+00  1.22824566e-06  0.00000000e+00  0.00000000e+00 
 1.06750000e-09  5.94725380e-08  1.19999995e+00  2.06102289e-06  0.00000000e+00  0.00000000e+00 
 1.07250000e-09  5.94758849e-08  1.19999995e+00  2.50787783e-06  0.00000000e+00  0.00000000e+00 
 1.07750000e-09  5.94805418e-08  1.19999995e+00  2.18531608e-06  0.00000000e+00  0.00000000e+00 
 1.08250000e-09  5.94823524e-08  1.19999995e+00  5.29703061e-07  0.00000000e+00  0.00000000e+00 
 1.08750000e-09  5.94991971e-08  1.19999995e+00 -1.05895804e-06  0.00000000e+00  0.00000000e+00 
 1.09250000e-09  5.95040443e-08  1.19999995e+00 -1.45370061e-06  0.00000000e+00  0.00000000e+00 
 1.09750000e-09  5.94821788e-08  1.19999995e+00 -1.19018794e-06  0.00000000e+00  0.00000000e+00 
