corner,vdd_v,temp_c,vctrl_v,up_a,down_a,both_a,mismatch_pct
ss,1.32,27,0.90,2.739391e-06,-2.83751e-06,-9.81148e-08,3.5188
ss,1.32,125,0.50,3.089987e-06,-2.547e-06,5.428563e-07,19.2651
ss,1.32,125,0.60,3.081427e-06,-2.74983e-06,3.315179e-07,11.3731
ss,1.32,125,0.70,3.06354e-06,-2.92885e-06,1.346549e-07,4.4954
ss,1.32,125,0.80,3.038492e-06,-3.04527e-06,-6.76919e-09,0.2228
ss,1.32,125,0.90,3.006736e-06,-3.08552e-06,-7.8733e-08,2.5864
tt,1.08,-40,0.50,2.441094e-06,-2.35229e-06,8.880812e-08,3.7053
tt,1.08,-40,0.60,2.426642e-06,-2.43159e-06,-4.94593e-09,0.2037
tt,1.08,-40,0.70,2.389447e-06,-2.45271e-06,-6.32629e-08,2.6130
tt,1.08,-40,0.80,2.33358e-06,-2.47022e-06,-1.36643e-07,5.6888
tt,1.08,-40,0.90,2.251132e-06,-2.48627e-06,-2.35141e-07,9.9269
tt,1.08,27,0.50,2.619816e-06,-2.47892e-06,1.408897e-07,5.5267
tt,1.08,27,0.60,2.602226e-06,-2.59794e-06,4.288073e-09,0.1648
tt,1.08,27,0.70,2.568743e-06,-2.63065e-06,-6.18946e-08,2.3813
tt,1.08,27,0.80,2.520808e-06,-2.65168e-06,-1.30862e-07,5.0603
tt,1.08,27,0.90,2.446418e-06,-2.67052e-06,-2.24088e-07,8.7592
tt,1.08,125,0.50,2.908079e-06,-2.66771e-06,2.402044e-07,8.6219
tt,1.08,125,0.60,2.887489e-06,-2.82859e-06,5.903584e-08,2.0608
tt,1.08,125,0.70,2.856806e-06,-2.89839e-06,-4.11666e-08,1.4451
tt,1.08,125,0.80,2.813168e-06,-2.92759e-06,-1.13716e-07,3.9863
tt,1.08,125,0.90,2.731377e-06,-2.95061e-06,-2.18242e-07,7.7168
tt,1.20,-40,0.50,2.696687e-06,-2.38857e-06,3.081207e-07,12.1181
tt,1.20,-40,0.60,2.685934e-06,-2.57726e-06,1.086711e-07,4.1296
tt,1.20,-40,0.70,2.655556e-06,-2.66115e-06,-5.59207e-09,0.2104
tt,1.20,-40,0.80,2.610074e-06,-2.68266e-06,-7.25857e-08,2.7429
tt,1.20,-40,0.90,2.550177e-06,-2.69993e-06,-1.49754e-07,5.7048
tt,1.20,27,0.50,2.862412e-06,-2.50298e-06,3.594289e-07,13.3982
tt,1.20,27,0.60,2.848721e-06,-2.70007e-06,1.486495e-07,5.3580
tt,1.20,27,0.70,2.820853e-06,-2.82043e-06,4.252887e-10,0.0150
tt,1.20,27,0.80,2.782465e-06,-2.8545e-06,-7.20242e-08,2.5558
tt,1.20,27,0.90,2.731946e-06,-2.87533e-06,-1.43365e-07,5.1142
tt,1.20,125,0.50,3.13223e-06,-2.68202e-06,4.498858e-07,15.4864
tt,1.20,125,0.60,3.115176e-06,-2.88097e-06,2.34194e-07,7.8119
tt,1.20,125,0.70,3.08972e-06,-3.03709e-06,5.291251e-08,1.7180
tt,1.20,125,0.80,3.056611e-06,-3.1082e-06,-5.10236e-08,1.6737
tt,1.20,125,0.90,3.01218e-06,-3.13745e-06,-1.24432e-07,4.0741
