corner,vdd_v,temp_c,vctrl_v,vbp_v,freq_hz,current_a,power_w,energy_j,vmin_v,vmax_v
ss,1.20,125,0.35,8.08293e-01,FAIL,FAIL,FAIL,FAIL,1.13182e-04,1.19715e+00
ss,1.20,125,0.4,7.57809e-01,FAIL,FAIL,FAIL,FAIL,6.35408e-01,1.20000e+00
ss,1.20,125,0.45,7.03683e-01,FAIL,FAIL,FAIL,FAIL,2.89032e-05,1.20245e+00
ss,1.20,125,0.5,6.45767e-01,FAIL,FAIL,FAIL,FAIL,-2.85154e-03,1.20525e+00
ss,1.20,125,0.55,0.586148,473706899,8.93005e-06,1.071606e-05,2.26217098e-14,-0.00496541,1.2089
ss,1.20,125,0.6,0.525222,798977309,1.51373e-05,1.816476e-05,2.27350136e-14,-0.00753993,1.21304
ss,1.20,125,0.65,0.464918,1.15612283e+09,2.09398e-05,2.512776e-05,2.17345073e-14,-0.0102518,1.2175
ss,1.20,125,0.7,0.406235,1.52371665e+09,2.87734e-05,3.452808e-05,2.26604336e-14,-0.0127898,1.2219
ss,1.20,125,0.75,0.350209,1.87818117e+09,3.69453e-05,4.433436e-05,2.36049433e-14,-0.0148577,1.22551
ss,1.20,125,0.8,0.298219,2.19495599e+09,4.4525e-05,5.343e-05,2.43421737e-14,-0.0163305,1.22704
ss,1.20,125,0.85,0.252366,2.45857304e+09,5.14246e-05,6.170952e-05,2.50997302e-14,-0.0172824,1.22504
ss,1.20,125,0.9,0.214375,2.66688002e+09,5.51065e-05,6.61278e-05,2.47959412e-14,-0.0178616,1.21838
ss,1.20,125,0.95,0.184652,2.82677521e+09,5.98554e-05,7.182648e-05,2.54093356e-14,-0.0182066,1.20719
ss,1.32,-40,0.35,1.07943e+00,FAIL,FAIL,FAIL,FAIL,3.28159e-03,4.15057e-03
ss,1.32,-40,0.4,1.07653e+00,FAIL,FAIL,FAIL,FAIL,3.08258e-03,5.17275e-03
ss,1.32,-40,0.45,1.01995e+00,FAIL,FAIL,FAIL,FAIL,9.32955e-05,2.16302e-03
ss,1.32,-40,0.5,7.92487e-01,FAIL,FAIL,FAIL,FAIL,-1.65976e-04,2.46966e-02
ss,1.32,-40,0.55,7.34643e-01,FAIL,FAIL,FAIL,FAIL,1.31993e+00,1.32000e+00
ss,1.32,-40,0.6,6.79666e-01,FAIL,FAIL,FAIL,FAIL,-3.78688e-03,1.32716e+00
ss,1.32,-40,0.65,0.6224,546251079,1.1545e-05,1.52394e-05,2.789816e-14,-0.00744738,1.33293
